"Ammunition_AMS.Description.Name";"AMS Ammo";"AMS Ammo";;
"Ammunition_ECOSRM.Description.UIName";"Lava";"Lava";;
"Ammunition_ECOSRM.Description.Name";"Lava SRM Ammo";"Lava SRM Ammo";;
"Ammunition_ECOSRM.Description.Details";"This missile is full of lava.";"This missile is full of lava.";;
"Ammunition_Flamer.Description.UIName";"Norm.";"Norm.";;
"Ammunition_Flamer.Description.Name";"Flamer Ammo";"Flamer Ammo";;
"Ammunition_Flamer.Description.Details";"Flamer Ammo. SHOULD NOT BE PURCHASABLE OR AVAILABLE!!! Flamers should have internal ammo only.";"Flamer Ammo. SHOULD NOT BE PURCHASABLE OR AVAILABLE!!! Flamers should have internal ammo only.";;
"Ammunition_GAUSS.Description.UIName";"Norm.";"Norm.";;
"Ammunition_GAUSS.Description.Name";"Gauss Ammo";"Gauss Ammo";;
"Ammunition_GAUSS.Description.Details";"GAUSS Ammo";"GAUSS Ammo";;
"Ammunition_ILRM.Description.UIName";"iLRM";"iLRM";;
"Ammunition_ILRM.Description.Name";"iLRM";"iLRM";;
"Ammunition_ILRM.Description.Details";"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.";"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.";;
"Ammunition_intBeacon.Description.UIName";"beacon";"beacon";;
"Ammunition_intBeacon.Description.Name";"beacon";"beacon";;
"Ammunition_intBeacon.Description.Details";"beacon";"beacon";;
"Ammunition_intBeacon.Effect_MortarAttackInitiativeReduced0.Name";"NUCLEAR BLAST AFFECTING INITIATIVE";"NUCLEAR BLAST AFFECTING INITIATIVE";;
"Ammunition_intBeacon.Effect_MortarAttackAccuracyReduced1.Name";"NUCLEAR BLAST AFFECTING ACCURACY";"NUCLEAR BLAST AFFECTING ACCURACY";;
"Ammunition_intBeacon.DesignMaskRadiation2.Name";"RADIATION";"RADIATION";;
"Ammunition_intBeacon.Effect_MortarAttackInitiativeReduced0.Details";"Баллистический шок, тепловая волна волна от взрыва, презагрузка БЦВМ из-за электромагнитной волны, перспектива лучевой болезни пугают пилота. Потеря инициативы [AMT] на один ход.";"Баллистический шок, тепловая волна волна от взрыва, презагрузка БЦВМ из-за электромагнитной волны, перспектива лучевой болезни пугают пилота. Потеря инициативы [AMT] на один ход.";;
"Ammunition_intBeacon.Effect_MortarAttackAccuracyReduced1.Details";"Баллистический шок, тепловая волна волна от взрыва, презагрузка БЦВМ из-за электромагнитной волны, перспектива лучевой болезни пугают пилота. Штраф к точности [AMT] на два хода.";"Баллистический шок, тепловая волна волна от взрыва, презагрузка БЦВМ из-за электромагнитной волны, перспектива лучевой болезни пугают пилота. Штраф к точности [AMT] на два хода.";;
"Ammunition_intBeacon.DesignMaskRadiation2.Details";"Вторичная радиация от взрыва вызывает проблемы в системе охлаждения. Штраф к способности теплорассеивания [AMT].";"Вторичная радиация от взрыва вызывает проблемы в системе охлаждения. Штраф к способности теплорассеивания [AMT].";;
"Ammunition_intLRM.Description.UIName";"LRM";"LRM";;
"Ammunition_intLRM.Description.Name";"LRM";"LRM";;
"Ammunition_intLRM.Description.Details";"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.";"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.";;
"Ammunition_intSRM - Copy.Description.UIName";"SRM";"SRM";;
"Ammunition_intSRM - Copy.Description.Name";"SRM";"SRM";;
"Ammunition_intSRM - Copy.Description.Details";"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.";"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.";;
"Ammunition_intSRM.Description.UIName";"SRM";"SRM";;
"Ammunition_intSRM.Description.Name";"SRM";"SRM";;
"Ammunition_intSRM.Description.Details";"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.";"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.";;
"Ammunition_ISRM.Description.UIName";"iSRM";"iSRM";;
"Ammunition_ISRM.Description.Name";"iSRM";"iSRM";;
"Ammunition_ISRM.Description.Details";"Short range missiles, inferno.";"Short range missiles, inferno.";;
"Ammunition_LaserAmmo.Description.UIName";"Acid";"Acid";;
"Ammunition_LaserAmmo.Description.Name";"Laser Ammo";"Laser Ammo";;
"Ammunition_LaserAmmo.Description.Details";"Chemical Laser Ammo";"Chemical Laser Ammo";;
"Ammunition_LaserAmmo2.Description.UIName";"Ice";"Ice";;
"Ammunition_LaserAmmo2.Description.Name";"Laser Ammo";"Laser Ammo";;
"Ammunition_LaserAmmo2.Description.Details";"Chemical Laser Ammo";"Chemical Laser Ammo";;
"Ammunition_LB10X.Description.UIName";"Slug";"Slug";;
"Ammunition_LB10X.Description.Name";"LBX/10 Slug Ammo";"LBX/10 Slug Ammo";;
"Ammunition_LB10X.Description.Details";"Large caliber rounds capable of dealing heavy damage, and designed to be used in an LBX/10.";"Large caliber rounds capable of dealing heavy damage, and designed to be used in an LBX/10.";;
"Ammunition_LB10XBuck.Description.UIName";"Buck.";"Buck.";;
"Ammunition_LB10XBuck.Description.Name";"LBX/10 Buckshot Ammo";"LBX/10 Buckshot Ammo";;
"Ammunition_LB10XBuck.Description.Details";"Large caliber rounds capable of dealing heavy damage, and designed to be used in an LBX/10.";"Large caliber rounds capable of dealing heavy damage, and designed to be used in an LBX/10.";;
"Ammunition_LB2X.Description.Name";"LB 2-X Ammo";"LB 2-X Ammo";;
"Ammunition_LB2X.Description.Details";"Small caliber cluster ammunition designed for long range fire in an LB 2-X.";"Small caliber cluster ammunition designed for long range fire in an LB 2-X.";;
"Ammunition_LBX10.Description.UIName";"Slug";"Slug";;
"Ammunition_LBX10.Description.Name";"LBX/10 Slug Ammo";"LBX/10 Slug Ammo";;
"Ammunition_LBX10.Description.Details";"Large caliber rounds capable of dealing heavy damage, and designed to be used in an LBX/10.";"Large caliber rounds capable of dealing heavy damage, and designed to be used in an LBX/10.";;
"Ammunition_LBX10Buck.Description.UIName";"Buck.";"Buck.";;
"Ammunition_LBX10Buck.Description.Name";"LBX/10 Buckshot Ammo";"LBX/10 Buckshot Ammo";;
"Ammunition_LBX10Buck.Description.Details";"Large caliber rounds capable of dealing heavy damage, and designed to be used in an LBX/10.";"Large caliber rounds capable of dealing heavy damage, and designed to be used in an LBX/10.";;
"Ammunition_LBX10ECM.Description.UIName";"ECM";"ECM";;
"Ammunition_LBX10ECM.Description.Name";"LBX/10 ECM Ammo";"LBX/10 ECM Ammo";;
"Ammunition_LBX10ECM.Description.Details";"Large caliber rounds capable of dealing heavy damage, and designed to be used in an LBX/10.";"Large caliber rounds capable of dealing heavy damage, and designed to be used in an LBX/10.";;
"Ammunition_LBX2Buck.Description.UIName";"Buck.";"Buck.";;
"Ammunition_LBX2Buck.Description.Name";"LBX/2 Buckshot Ammo";"LBX/2 Buckshot Ammo";;
"Ammunition_LBX2Buck.Description.Details";"Large caliber rounds capable of dealing heavy damage, and designed to be used in an LBX/2.";"Large caliber rounds capable of dealing heavy damage, and designed to be used in an LBX/2.";;
"Ammunition_LBX2Slug.Description.UIName";"Slug.";"Slug.";;
"Ammunition_LBX2Slug.Description.Name";"LBX/2 Slug Ammo";"LBX/2 Slug Ammo";;
"Ammunition_LBX2Slug.Description.Details";"Large caliber rounds capable of dealing heavy damage, and designed to be used in an LBX/2.";"Large caliber rounds capable of dealing heavy damage, and designed to be used in an LBX/2.";;
"Ammunition_LGAUSS.Description.UIName";"Normal";"Normal";;
"Ammunition_LGAUSS.Description.Name";"Light Gauss Ammo";"Light Gauss Ammo";;
"Ammunition_LRM.Description.UIName";"LRM";"LRM";;
"Ammunition_LRM.Description.Name";"LRM";"LRM";;
"Ammunition_LRM.Description.Details";"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.";"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.";;
"Ammunition_LRMAOE.Description.UIName";"AOE";"AOE";;
"Ammunition_LRMAOE.Description.Name";"LRM AOE Ammo";"LRM AOE Ammo";;
"Ammunition_LRMAOE.Description.Details";"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.";"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.";;
"Ammunition_LRSRM.Description.UIName";"ER";"ER";;
"Ammunition_LRSRM.Description.Name";"Extend range SRM Ammo";"Extend range SRM Ammo";;
"Ammunition_LRSRM.Description.Details";"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.";"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.";;
"Ammunition_MG.Description.UIName";"Norm.";"Norm.";;
"Ammunition_MG.Description.Name";"MG Ammo";"MG Ammo";;
"Ammunition_MG.Description.Details";"Large bore belted ammunition for 'Mech-mounted machine guns.";"Large bore belted ammunition for 'Mech-mounted machine guns.";;
"Ammunition_MORTAR.Description.UIName";"nuke";"nuke";;
"Ammunition_MORTAR.Description.Name";"Tactical Nuclear Ammo";"Tactical Nuclear Ammo";;
"Ammunition_MORTAR.Description.Details";"Боеприпас для нанесения тактического ядерного удара по крупным целям и скоплениям сил противника. Наиболее эффективное и разрушительное средство, доступное артиллерии.";"Боеприпас для нанесения тактического ядерного удара по крупным целям и скоплениям сил противника. Наиболее эффективное и разрушительное средство, доступное артиллерии.";;
"Ammunition_Narc.Description.UIName";"NARC";"NARC";;
"Ammunition_Narc.Description.Name";"NARC";"NARC";;
"Ammunition_Narc.Description.Details";"NARC";"NARC";;
"Ammunition_SRM.Description.UIName";"SRM";"SRM";;
"Ammunition_SRM.Description.Name";"SRM";"SRM";;
"Ammunition_SRM.Description.Details";"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.";"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.";;
"Ammunition_SSRM.Description.UIName";"Shells";"Shells";;
"Ammunition_SSRM.Description.Name";"Separated SRM Ammo";"Separated SRM Ammo";;
"Ammunition_SSRM.Description.Details";"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.";"Short range missiles, capable of dealing heavy damage at close range via shaped charge warheads.";;
"Ammunition_Thunder.Description.UIName";"Thunder";"Thunder";;
"Ammunition_Thunder.Description.Name";"Thunder Ammo";"Thunder Ammo";;
"Ammunition_Thunder.Description.Details";"Thunder";"Thunder";;
"Ammunition_WIRLWIND.Description.UIName";"frag";"frag";;
"Ammunition_WIRLWIND.Description.Name";"WIRLWIND Ammo";"WIRLWIND Ammo";;
"Ammunition_WIRLWIND.Description.Details";"Oсколочные ракеты к пусковым установкам 'Вихрь'.";"Oсколочные ракеты к пусковым установкам 'Вихрь'.";;
"Ammunition_WIRLWIND_E.Description.UIName";"expl";"expl";;
"Ammunition_WIRLWIND_E.Description.Name";"WIRLWIND Ammo";"WIRLWIND Ammo";;
"Ammunition_WIRLWIND_E.Description.Details";"Oсколочные ракеты к пусковым установкам 'Вихрь'.";"Oсколочные ракеты к пусковым установкам 'Вихрь'.";;
"LRMInternal.Description.UIName";"LRM";"LRM";;
"LRMInternal.Description.Name";"LRM";"LRM";;
"LRMInternal.Description.Details";"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.";"Long range missiles, capable of dealing moderate damage at long range. Each missile lacks punch, but in a group they can deal significant damage.";;
"Ammo_AmmunitionBox_FGAUSS.Description.UIName";"Railgun ammo. Buckshot";"Railgun ammo. Buckshot";;
"Ammo_AmmunitionBox_FGAUSS.Description.Name";"Railgun ammo. Buckshot";"Railgun ammo. Buckshot";;
"Ammo_AmmunitionBox_FGAUSS.Description.Details";"Боеприпасы рельсотрона. 16 зарядов. В каждом заряде 6 частей.";"Боеприпасы рельсотрона. 16 зарядов. В каждом заряде 6 частей.";;
"Ammo_AmmunitionBox_Generic_AC20AOE.Description.UIName";"AC/20 AOE Ammo";"AC/20 AOE Ammo";;
"Ammo_AmmunitionBox_Generic_AC20AOE.Description.Name";"AC/20 AOE Ammo";"AC/20 AOE Ammo";;
"Ammo_AmmunitionBox_Generic_AC20AOE.Description.Details";"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. AC/20 Ammo Bins each contain 5 rounds and may feed multiple weapons.";"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. AC/20 Ammo Bins each contain 5 rounds and may feed multiple weapons.";;
"Ammo_AmmunitionBox_Generic_AC20IAOE.Description.UIName";"AC/20 AOE Inferno Ammo";"AC/20 AOE Inferno Ammo";;
"Ammo_AmmunitionBox_Generic_AC20IAOE.Description.Name";"AC/20 AOE Inferno Ammo";"AC/20 AOE Inferno Ammo";;
"Ammo_AmmunitionBox_Generic_AC20IAOE.Description.Details";"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. AC/20 Ammo Bins each contain 5 rounds and may feed multiple weapons.";"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. AC/20 Ammo Bins each contain 5 rounds and may feed multiple weapons.";;
"Ammo_AmmunitionBox_Generic_AC20SMOKE.Description.UIName";"AC/20 AOE Smoke Ammo";"AC/20 AOE Smoke Ammo";;
"Ammo_AmmunitionBox_Generic_AC20SMOKE.Description.Name";"AC/20 AOE Smoke Ammo";"AC/20 AOE Smoke Ammo";;
"Ammo_AmmunitionBox_Generic_AC20SMOKE.Description.Details";"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. AC/20 Ammo Bins each contain 5 rounds and may feed multiple weapons.";"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. AC/20 Ammo Bins each contain 5 rounds and may feed multiple weapons.";;
"Ammo_AmmunitionBox_Generic_ECOSRM.Description.UIName";"Lava SRM Ammo";"Lava SRM Ammo";;
"Ammo_AmmunitionBox_Generic_ECOSRM.Description.Name";"Lava SRM Ammo";"Lava SRM Ammo";;
"Ammo_AmmunitionBox_Generic_ECOSRM.Description.Details";"This missiles is full of lava.";"This missiles is full of lava.";;
"Ammo_AmmunitionBox_Generic_ILRM.Description.UIName";"iLRM";"iLRM";;
"Ammo_AmmunitionBox_Generic_ILRM.Description.Name";"Inferno LRM Ammo";"Inferno LRM Ammo";;
"Ammo_AmmunitionBox_Generic_ILRM.Description.Details";"Inferno LRM";"Inferno LRM";;
"Ammo_AmmunitionBox_Generic_ISRM.Description.UIName";"iSRM";"iSRM";;
"Ammo_AmmunitionBox_Generic_ISRM.Description.Name";"Inferno SRM Ammo";"Inferno SRM Ammo";;
"Ammo_AmmunitionBox_Generic_ISRM.Description.Details";"Inferno SRM";"Inferno SRM";;
"Ammo_AmmunitionBox_Generic_Laser.Description.UIName";"Chemical Laser Ammo";"Chemical Laser Ammo";;
"Ammo_AmmunitionBox_Generic_Laser.Description.Name";"Chemical Laser Ammo";"Chemical Laser Ammo";;
"Ammo_AmmunitionBox_Generic_Laser.Description.Details";"An ammo bin modified to be a chemical resevoir for a laser that obtains its energy from a chemical reaction. Chemical laser ammo bins each contain <color=#F79232><b>25 rounds</b></color> and may feed multiple weapons.

Targets hit by these lasers will receive 20% more damage for 2 turns.

<color=#d9d9d9><b>Ammunition type can be changed by clicking the center of the weapons activation panel during combat.</b></color>.";"An ammo bin modified to be a chemical resevoir for a laser that obtains its energy from a chemical reaction. Chemical laser ammo bins each contain <color=#F79232><b>25 rounds</b></color> and may feed multiple weapons.

Targets hit by these lasers will receive 20% more damage for 2 turns.

<color=#d9d9d9><b>Ammunition type can be changed by clicking the center of the weapons activation panel during combat.</b></color>.";;
"Ammo_AmmunitionBox_Generic_Laser2.Description.UIName";"Cryo Laser Ammo";"Cryo Laser Ammo";;
"Ammo_AmmunitionBox_Generic_Laser2.Description.Name";"Cryo Laser Ammo";"Cryo Laser Ammo";;
"Ammo_AmmunitionBox_Generic_Laser2.Description.Details";"An ammo bin modified to be a chemical resevoir for a laser that obtains its energy from a chemical reaction. Chemical laser ammo bins each contain <color=#F79232><b>25 rounds</b></color> and may feed multiple weapons.

Targets hit by these lasers will have reduced movement speed for 2 turns.

<color=#d9d9d9><b>Ammunition type can be changed by clicking the center of the weapons activation panel during combat.</b></color>.";"An ammo bin modified to be a chemical resevoir for a laser that obtains its energy from a chemical reaction. Chemical laser ammo bins each contain <color=#F79232><b>25 rounds</b></color> and may feed multiple weapons.

Targets hit by these lasers will have reduced movement speed for 2 turns.

<color=#d9d9d9><b>Ammunition type can be changed by clicking the center of the weapons activation panel during combat.</b></color>.";;
"Ammo_AmmunitionBox_Generic_LB10X.Description.UIName";"LB10X slug ammo";"LB10X slug ammo";;
"Ammo_AmmunitionBox_Generic_LB10X.Description.Name";"LB10X slug ammo";"LB10X slug ammo";;
"Ammo_AmmunitionBox_Generic_LB10X.Description.Details";"LB10X slug ammo";"LB10X slug ammo";;
"Ammo_AmmunitionBox_Generic_LB10XBuck.Description.UIName";"LB10X buckshot ammo";"LB10X buckshot ammo";;
"Ammo_AmmunitionBox_Generic_LB10XBuck.Description.Name";"LB10X buckshot ammo";"LB10X buckshot ammo";;
"Ammo_AmmunitionBox_Generic_LB10XBuck.Description.Details";"LB10X buckshot ammo";"LB10X buckshot ammo";;
"Ammo_AmmunitionBox_Generic_LBX10.Description.UIName";"LBX10 Slug Ammo";"LBX10 Slug Ammo";;
"Ammo_AmmunitionBox_Generic_LBX10.Description.Name";"LBX10 Slug Ammo";"LBX10 Slug Ammo";;
"Ammo_AmmunitionBox_Generic_LBX10.Description.Details";"LBX10 Slug Ammo";"LBX10 Slug Ammo";;
"Ammo_AmmunitionBox_Generic_LBX10Buck.Description.UIName";"LBX10 Buckshot Ammo";"LBX10 Buckshot Ammo";;
"Ammo_AmmunitionBox_Generic_LBX10Buck.Description.Name";"LBX10 Buckshot Ammo";"LBX10 Buckshot Ammo";;
"Ammo_AmmunitionBox_Generic_LBX10Buck.Description.Details";"LBX10 Buckshot Ammo";"LBX10 Buckshot Ammo";;
"Ammo_AmmunitionBox_Generic_LBX10ECM.Description.UIName";"LBX10 ECM Ammo";"LBX10 ECM Ammo";;
"Ammo_AmmunitionBox_Generic_LBX10ECM.Description.Name";"LBX10 ECM Ammo";"LBX10 ECM Ammo";;
"Ammo_AmmunitionBox_Generic_LBX10ECM.Description.Details";"LBX10 ECM Ammo";"LBX10 ECM Ammo";;
"Ammo_AmmunitionBox_Generic_LBX2.Description.UIName";"LBX2 Slug Ammo";"LBX2 Slug Ammo";;
"Ammo_AmmunitionBox_Generic_LBX2.Description.Name";"LBX2 Slug Ammo";"LBX2 Slug Ammo";;
"Ammo_AmmunitionBox_Generic_LBX2.Description.Details";"LBX2 Slug Ammo";"LBX2 Slug Ammo";;
"Ammo_AmmunitionBox_Generic_LBX2Buck.Description.UIName";"LBX2 Buckshot Ammo";"LBX2 Buckshot Ammo";;
"Ammo_AmmunitionBox_Generic_LBX2Buck.Description.Name";"LBX2 Buckshot Ammo";"LBX2 Buckshot Ammo";;
"Ammo_AmmunitionBox_Generic_LBX2Buck.Description.Details";"LBX2 Buckshot Ammo";"LBX2 Buckshot Ammo";;
"Ammo_AmmunitionBox_Generic_LGAUSS.Description.UIName";"Light Gauss Ammo";"Light Gauss Ammo";;
"Ammo_AmmunitionBox_Generic_LGAUSS.Description.Name";"Light Gauss Ammo";"Light Gauss Ammo";;
"Ammo_AmmunitionBox_Generic_LGAUSS.Description.Details";"Light Gauss Ammo. 16.";"Light Gauss Ammo. 16.";;
"Ammo_AmmunitionBox_Generic_LRM.Description.UIName";"LRM Ammo";"LRM Ammo";;
"Ammo_AmmunitionBox_Generic_LRM.Description.Name";"LRM Ammo";"LRM Ammo";;
"Ammo_AmmunitionBox_Generic_LRM.Description.Details";"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit.

LRM Ammo Bins each contain 120 rounds and may feed multiple weapons.";"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit.

LRM Ammo Bins each contain 120 rounds and may feed multiple weapons.";;
"Ammo_AmmunitionBox_Generic_LRMAOE.Description.UIName";"AOE LRM AMMO";"AOE LRM AMMO";;
"Ammo_AmmunitionBox_Generic_LRMAOE.Description.Name";"AOE LRM Ammo";"AOE LRM Ammo";;
"Ammo_AmmunitionBox_Generic_LRMAOE.Description.Details";"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. SRM Ammo Bins each contain 100 rounds and may feed multiple weapons.";"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. SRM Ammo Bins each contain 100 rounds and may feed multiple weapons.";;
"Ammo_AmmunitionBox_Generic_LRSRM.Description.UIName";"Extended range SRM Ammo";"Extended range SRM Ammo";;
"Ammo_AmmunitionBox_Generic_LRSRM.Description.Name";"ER SRM Ammo";"ER SRM Ammo";;
"Ammo_AmmunitionBox_Generic_LRSRM.Description.Details";"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. SRM Ammo Bins each contain 100 rounds and may feed multiple weapons.";"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. SRM Ammo Bins each contain 100 rounds and may feed multiple weapons.";;
"Ammo_AmmunitionBox_Generic_MORTAR.Description.UIName";"Tactical Nuclear Ammo";"Tactical Nuclear Ammo";;
"Ammo_AmmunitionBox_Generic_MORTAR.Description.Name";"Tactical Nuclear Ammo";"Tactical Nuclear Ammo";;
"Ammo_AmmunitionBox_Generic_MORTAR.Description.Details";"Боеприпас для нанесения тактического ядерного удара по крупным целям и скоплениям сил противника. Наиболее эффективное и разрушительное средство, доступное артиллерии. Используется артустановками Hellhammer. 10 зарядов.";"Боеприпас для нанесения тактического ядерного удара по крупным целям и скоплениям сил противника. Наиболее эффективное и разрушительное средство, доступное артиллерии. Используется артустановками Hellhammer. 10 зарядов.";;
"Ammo_AmmunitionBox_Generic_SRM.Description.UIName";"SRM Ammo";"SRM Ammo";;
"Ammo_AmmunitionBox_Generic_SRM.Description.Name";"SRM Ammo";"SRM Ammo";;
"Ammo_AmmunitionBox_Generic_SRM.Description.Details";"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. SRM Ammo Bins each contain 100 rounds and may feed multiple weapons.";"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required per weapon type. Ammo Bins will explode and destroy their installed location when they receive a Critical Hit. SRM Ammo Bins each contain 100 rounds and may feed multiple weapons.";;
"Ammo_AmmunitionBox_Generic_SSRM.Description.UIName";"Shells SRM Ammo";"Shells SRM Ammo";;
"Ammo_AmmunitionBox_Generic_SSRM.Description.Name";"Shells SRM Ammo";"Shells SRM Ammo";;
"Ammo_AmmunitionBox_Generic_SSRM.Description.Details";"Shells SRM";"Shells SRM";;
"Ammo_AmmunitionBox_Generic_Thunder.Description.UIName";"Thunder Ammo";"Thunder Ammo";;
"Ammo_AmmunitionBox_Generic_Thunder.Description.Name";"Thunder Ammo";"Thunder Ammo";;
"Ammo_AmmunitionBox_Generic_Thunder.Description.Details";"Thunder";"Thunder";;
"Ammo_AmmunitionBox_Generic_Wirlwind.Description.UIName";"Wirlwind Ammo";"Wirlwind Ammo";;
"Ammo_AmmunitionBox_Generic_Wirlwind.Description.Name";"Wirlwind Ammo";"Wirlwind Ammo";;
"Ammo_AmmunitionBox_Generic_Wirlwind.Description.Details";"Боеприпасы для пусковых установок 'Вихрь'. 120 ракет.";"Боеприпасы для пусковых установок 'Вихрь'. 120 ракет.";;
"Ammo_AmmunitionBox_Generic_Wirlwind_E.Description.UIName";"Wirlwind Ammo High Explosion";"Wirlwind Ammo High Explosion";;
"Ammo_AmmunitionBox_Generic_Wirlwind_E.Description.Name";"Wirlwind Ammo HE";"Wirlwind Ammo HE";;
